"IMAGE	MEDICINE_NAME	GENERIC_NAME	DISEASE	DESCRIPTION",,
"0.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"1.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"2.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"3.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"4.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"5.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"6.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"7.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"8.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"9.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"10.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"11.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"12.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"13.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"14.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"15.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"16.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"17.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"18.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"19.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"20.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"21.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"22.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"23.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"24.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"25.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"26.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"27.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"28.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"29.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"30.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"31.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"32.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
"33.png	Aceta	Paracetamol	Fever / Pain	Aceta contains Paracetamol for treating fever / pain. It reduces fever and pain by inhibiting prostaglandins in the CNS.",,
